task,round,global_round,task_progress,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,fpr,loss
0,1,1,0.025,92.612,92.612,91.2238,93.2176,92.612,90.9765,92.612,92.612,90.6713,92.6863,7.9647,0.23527
0,2,2,0.05,94.4979,94.4979,92.1701,95.1306,94.4979,94.2686,94.4979,94.4979,92.9145,94.6674,8.3356,0.166184
0,3,3,0.075,95.5469,95.5469,93.0857,96.0715,95.5469,95.2187,95.5469,95.5469,93.92,95.6885,7.5299,0.131373
0,4,4,0.1,95.5708,95.5708,92.8965,95.8836,95.5708,95.0296,95.5708,95.5708,93.8486,95.6469,7.9454,0.130309
0,5,5,0.125,95.6199,95.6199,93.1527,96.1397,95.6199,95.3737,95.6199,95.6199,94.0324,95.7571,7.6975,0.133681
0,6,6,0.15,95.6803,95.6803,93.2128,96.1989,95.6803,95.4815,95.6803,95.6803,94.1156,95.8132,7.8181,0.125933
0,7,7,0.175,95.7812,95.7812,93.3518,96.3203,95.7812,95.5661,95.7812,95.7812,94.2161,95.9233,7.4226,0.120668
0,8,8,0.2,95.7084,95.7084,93.2394,96.2546,95.7084,95.5342,95.7084,95.7084,94.1406,95.8515,7.6186,0.141152
0,9,9,0.225,95.5971,95.5971,93.0933,96.1884,95.5971,95.4327,95.5971,95.5971,93.9899,95.7487,7.8333,0.130013
0,10,10,0.25,95.6927,95.6927,93.0162,96.0202,95.6927,95.1974,95.6927,95.6927,93.9862,95.7734,7.7989,0.127573
0,11,11,0.275,95.6983,95.6983,93.0609,96.0018,95.6983,95.1497,95.6983,95.6983,93.9953,95.7754,7.6187,0.125442
0,12,12,0.3,95.7694,95.7694,93.3259,96.3111,95.7694,95.6079,95.7694,95.7694,94.2208,95.9098,7.5887,0.115338
0,13,13,0.325,95.8311,95.8311,93.3965,96.3702,95.8311,95.6581,95.8311,95.8311,94.284,95.9706,7.532,0.119482
0,14,14,0.35,95.9112,95.9112,93.5436,96.4428,95.9112,95.7233,95.9112,95.9112,94.3923,96.0498,7.3127,0.113379
0,15,15,0.375,95.8453,95.8453,93.4729,96.4126,95.8453,95.6623,95.8453,95.8453,94.3062,95.9927,7.3919,0.116188
0,16,16,0.4,95.7517,95.7517,93.3606,96.2634,95.7517,95.5134,95.7517,95.7517,94.2042,95.8856,7.4385,0.123136
0,17,17,0.425,95.3471,95.3471,93.0982,95.9053,95.3471,94.8484,95.3471,95.3471,93.6891,95.4871,7.3054,0.136254
0,18,18,0.45,95.6232,95.6232,93.1517,96.1264,95.6232,95.3733,95.6232,95.6232,94.0388,95.7547,7.78,0.127889
0,19,19,0.475,86.8714,86.8714,86.5862,91.4537,86.8714,82.3573,86.8714,86.8714,81.0226,87.1782,21.6611,0.21778
0,20,20,0.5,95.7346,95.7346,93.125,96.0461,95.7346,95.2343,95.7346,95.7346,94.0651,95.8139,7.6409,0.124561
0,21,21,0.525,95.729,95.729,93.3062,96.2411,95.729,95.4871,95.729,95.729,94.164,95.8625,7.5029,0.119285
0,22,22,0.55,95.7664,95.7664,93.3469,96.2903,95.7664,95.5482,95.7664,95.7664,94.2092,95.9026,7.4952,0.117015
0,23,23,0.575,95.7403,95.7403,93.354,96.2575,95.7403,95.4789,95.7403,95.7403,94.1801,95.8759,7.3963,0.120062
0,24,24,0.6,95.7977,95.7977,93.3931,96.3255,95.7977,95.5816,95.7977,95.7977,94.247,95.9349,7.4506,0.11721
0,25,25,0.625,95.7994,95.7994,93.4058,96.3215,95.7994,95.5658,95.7994,95.7994,94.2482,95.9357,7.3918,0.11664
0,26,26,0.65,95.8546,95.8546,93.4632,96.3828,95.8546,95.635,95.8546,95.8546,94.309,95.9929,7.3174,0.113996
0,27,27,0.675,95.7981,95.7981,93.3974,96.322,95.7981,95.5746,95.7981,95.7981,94.2477,95.9347,7.4193,0.11796
0,28,28,0.7,95.8536,95.8536,93.4664,96.3645,95.8536,95.6243,95.8536,95.8536,94.3139,95.9871,7.3026,0.114353
