task,round,global_round,task_progress,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,fpr,loss
0,1,1,0.025,92.4951,92.4951,90.4124,92.5766,92.4951,90.4752,92.4951,92.4951,90.4341,92.5267,7.9885,0.275992
0,2,2,0.05,95.2933,95.2933,92.7283,95.8618,95.2933,95.0546,95.2933,95.2933,93.6385,95.4403,8.3385,0.149784
0,3,3,0.075,95.4401,95.4401,92.9644,95.988,95.4401,95.1447,95.4401,95.4401,93.8079,95.5868,7.7228,0.13492
0,4,4,0.1,95.281,95.281,92.5865,95.6012,95.281,94.7194,95.281,95.281,93.5358,95.3592,8.3683,0.172095
0,5,5,0.125,95.5195,95.5195,93.0057,96.018,95.5195,95.2984,95.5195,95.5195,93.9301,95.6483,7.973,0.134325
0,6,6,0.15,95.6776,95.6776,93.225,96.1904,95.6776,95.464,95.6776,95.6776,94.1134,95.8109,7.6897,0.125863
0,7,7,0.175,95.7784,95.7784,93.3561,96.2848,95.7784,95.548,95.7784,95.7784,94.2249,95.912,7.3974,0.114664
0,8,8,0.2,95.5105,95.5105,93.0595,96.0116,95.5105,95.2512,95.5105,95.5105,93.9311,95.6398,7.9832,0.129977
0,9,9,0.225,95.6149,95.6149,93.1843,96.1184,95.6149,95.3222,95.6149,95.6149,94.0279,95.7495,7.5266,0.132723
0,10,10,0.25,95.6632,95.6632,93.3371,96.1956,95.6632,95.324,95.6632,95.6632,94.0856,95.8058,7.2293,0.126853
0,11,11,0.275,95.2205,95.2205,92.9884,95.7905,95.2205,94.9801,95.2205,95.2205,93.7157,95.3764,7.2767,0.147457
0,12,12,0.3,95.805,95.805,93.4007,96.3185,95.805,95.5745,95.805,95.805,94.2556,95.9404,7.3232,0.120016
0,13,13,0.325,95.7083,95.7083,93.3004,96.229,95.7083,95.4757,95.7083,95.7083,94.1499,95.843,7.5583,0.125643
0,14,14,0.35,95.8322,95.8322,93.4264,96.3778,95.8322,95.665,95.8322,95.8322,94.2959,95.9728,7.5081,0.123906
0,15,15,0.375,95.7918,95.7918,93.386,96.294,95.7918,95.5288,95.7918,95.7918,94.2322,95.9244,7.327,0.122478
0,16,16,0.4,95.8829,95.8829,93.4736,96.4065,95.8829,95.6721,95.8829,95.8829,94.3362,96.0198,7.303,0.111704
0,17,17,0.425,95.8958,95.8958,93.3537,96.1844,95.8958,95.365,95.8958,95.8958,94.2556,95.9719,7.1895,0.11373
0,18,18,0.45,92.0863,92.0863,90.851,92.842,92.0863,90.8792,92.0863,92.0863,90.4141,92.2145,7.4047,0.209131
0,19,19,0.475,95.5812,95.5812,92.9422,95.9085,95.5812,95.0063,95.5812,95.5812,93.8575,95.6714,7.5891,0.13131
0,20,20,0.5,95.7184,95.7184,93.1111,96.0207,95.7184,95.1755,95.7184,95.7184,94.0342,95.797,7.5261,0.121439
0,21,21,0.525,95.8012,95.8012,93.3968,96.3126,95.8012,95.5658,95.8012,95.8012,94.25,95.9346,7.41,0.115031
0,22,22,0.55,95.746,95.746,93.3171,96.2481,95.746,95.5055,95.746,95.746,94.1851,95.8769,7.526,0.11607
0,23,23,0.575,95.7595,95.7595,93.3216,96.2608,95.7595,95.5191,95.7595,95.7595,94.1956,95.8898,7.5344,0.116749
0,24,24,0.6,95.8111,95.8111,93.4058,96.3315,95.8111,95.5839,95.8111,95.8111,94.2589,95.9467,7.4102,0.112845
0,25,25,0.625,95.8206,95.8206,93.4108,96.3339,95.8206,95.5945,95.8206,95.8206,94.2709,95.9544,7.4012,0.115396
0,26,26,0.65,95.8304,95.8304,93.4433,96.3575,95.8304,95.608,95.8304,95.8304,94.2854,95.9678,7.3542,0.112213
0,27,27,0.675,95.842,95.842,93.4669,96.3623,95.842,95.6072,95.842,95.842,94.3006,95.9782,7.3042,0.111334
0,28,28,0.7,95.8631,95.8631,93.4827,96.3828,95.8631,95.641,95.8631,95.8631,94.326,95.9991,7.2953,0.110676
0,29,29,0.725,95.8639,95.8639,93.4849,96.3867,95.8639,95.6448,95.8639,95.8639,94.3273,96.0006,7.2978,0.110965
0,30,30,0.75,95.8486,95.8486,93.4684,96.3641,95.8486,95.6101,95.8486,95.8486,94.3057,95.9837,7.292,0.115414
0,31,31,0.775,95.8924,95.8924,93.5221,96.4067,95.8924,95.6681,95.8924,95.8924,94.3617,96.027,7.2215,0.110881
0,32,32,0.8,95.8363,95.8363,93.4536,96.3398,95.8363,95.5842,95.8363,95.8363,94.2918,95.9684,7.2976,0.115212
0,33,33,0.825,95.8384,95.8384,93.4589,96.3377,95.8384,95.5693,95.8384,95.8384,94.2895,95.9697,7.2676,0.117512
0,34,34,0.85,95.8674,95.8674,93.4902,96.3904,95.8674,95.6487,95.8674,95.8674,94.3317,96.0041,7.2922,0.111037
0,35,35,0.875,93.2013,93.2013,92.2054,93.0351,93.2013,86.5949,93.2013,93.2013,88.2222,92.5283,1.5067,0.138332
0,36,36,0.9,95.8433,95.8433,93.4627,96.3453,95.8433,95.59,95.8433,95.8433,94.3,95.975,7.287,0.115312
0,37,37,0.925,95.8934,95.8934,93.5259,96.4071,95.8934,95.6675,95.8934,95.8934,94.3633,96.0279,7.2135,0.110439
0,38,38,0.95,95.888,95.888,93.5214,96.405,95.888,95.6585,95.888,95.888,94.3546,96.0234,7.2038,0.110694
0,39,39,0.975,95.8661,95.8661,93.4878,96.3719,95.8661,95.6276,95.8661,95.8661,94.3295,95.9987,7.2648,0.114222
0,40,40,1.0,95.8696,95.8696,93.4922,96.3905,95.8696,95.6492,95.8696,95.8696,94.3344,96.0059,7.2879,0.111634
1,1,41,1.0125,63.8069,63.8069,57.7499,81.2798,63.8069,68.8049,63.8069,63.8069,55.1562,67.8448,48.1451,1.560398
1,2,42,1.025,65.6963,65.6963,57.2739,80.2277,65.6963,71.9152,65.6963,65.6963,56.8886,69.0874,43.8104,1.962673
1,3,43,1.0375,66.5533,66.5533,59.9336,81.0728,66.5533,74.4194,66.5533,66.5533,59.9258,69.4958,45.6628,2.645659
1,4,44,1.05,67.9094,67.9094,61.3816,81.2961,67.9094,76.2489,67.9094,67.9094,62.0378,70.5405,42.9639,2.457459
1,5,45,1.0625,68.5184,68.5184,62.1986,80.8721,68.5184,76.3572,68.5184,68.5184,63.1215,71.0566,39.9285,2.480438
1,6,46,1.075,68.3258,68.3258,62.4905,82.7109,68.3258,76.9117,68.3258,68.3258,62.8636,71.0868,41.7726,2.548804
1,7,47,1.0875,67.5988,67.5988,62.5256,82.4008,67.5988,76.4287,67.5988,67.5988,62.4854,70.7302,42.8724,2.547492
1,8,48,1.1,67.8374,67.8374,62.5739,82.2538,67.8374,76.5577,67.8374,67.8374,62.6506,70.9193,42.3771,2.525537
1,9,49,1.1125,67.6017,67.6017,62.4475,83.1016,67.6017,75.779,67.6017,67.6017,62.0541,71.1004,40.0822,2.455459
1,10,50,1.125,67.4242,67.4242,62.4918,83.2046,67.4242,75.9922,67.4242,67.4242,61.9775,70.8977,42.2907,2.458769
1,11,51,1.1375,67.8408,67.8408,62.989,83.3815,67.8408,76.1658,67.8408,67.8408,62.4613,71.3662,40.4055,2.468841
1,12,52,1.15,67.4832,67.4832,62.3474,83.2534,67.4832,76.0137,67.4832,67.4832,61.8486,70.9667,41.7654,2.394151
1,13,53,1.1625,67.3094,67.3094,62.2408,82.7914,67.3094,75.8567,67.3094,67.3094,61.8242,70.7786,41.1526,2.399919
1,14,54,1.175,67.5487,67.5487,62.3008,82.9291,67.5487,75.9245,67.5487,67.5487,61.9247,71.0152,40.3094,2.349792
1,15,55,1.1875,68.0163,68.0163,62.2346,82.9832,68.0163,76.2303,68.0163,68.0163,62.218,71.4235,41.669,2.343536
1,16,56,1.2,67.7736,67.7736,62.2432,82.7651,67.7736,76.2929,67.7736,67.7736,62.196,71.2276,42.6197,2.421912
1,17,57,1.2125,68.0849,68.0849,62.4188,82.7612,68.0849,76.3137,68.0849,68.0849,62.4934,71.4151,42.3651,2.353417
1,18,58,1.225,70.0755,70.0755,61.9143,83.0153,70.0755,77.4535,70.0755,70.0755,63.0861,73.1948,40.4484,2.320466
1,19,59,1.2375,68.5402,68.5402,62.2951,82.9562,68.5402,76.674,68.5402,68.5402,62.5959,71.8733,41.5208,2.369953
1,20,60,1.25,69.0754,69.0754,61.5193,83.0012,69.0754,76.9375,69.0754,69.0754,62.178,72.3876,40.4101,2.361915
1,21,61,1.2625,69.542,69.542,63.1822,83.8804,69.542,77.8518,69.542,69.542,63.8514,72.7261,42.4226,2.202902
1,22,62,1.275,68.274,68.274,61.9846,83.5176,68.274,76.3203,68.274,68.274,61.9754,71.8223,39.5118,2.340684
1,23,63,1.2875,68.6347,68.6347,61.9292,83.4002,68.6347,76.6919,68.6347,68.6347,62.249,72.048,40.7263,2.344096
1,24,64,1.3,68.1948,68.1948,61.5819,83.4251,68.1948,76.5266,68.1948,68.1948,61.7304,71.6517,42.0473,2.393792
1,25,65,1.3125,68.6979,68.6979,61.8111,83.5605,68.6979,76.7898,68.6979,68.6979,62.1581,72.1407,41.5517,2.392465
1,26,66,1.325,68.6721,68.6721,60.6496,83.5087,68.6721,76.7844,68.6721,68.6721,61.0399,72.0927,42.0845,2.375354
1,27,67,1.3375,68.468,68.468,60.3346,83.558,68.468,76.6962,68.468,68.468,60.5201,71.9785,41.3386,2.394409
1,28,68,1.35,68.2283,68.2283,60.2021,83.4872,68.2283,76.5977,68.2283,68.2283,60.3276,71.6494,43.2705,2.411835
1,29,69,1.3625,68.7698,68.7698,60.5409,83.6132,68.7698,77.0275,68.7698,68.7698,60.911,72.188,41.8886,2.378918
1,30,70,1.375,68.1598,68.1598,60.0486,83.5532,68.1598,76.7115,68.1598,68.1598,60.0825,71.6279,42.3423,2.431342
1,31,71,1.3875,68.3181,68.3181,60.1471,83.4824,68.3181,76.7963,68.3181,68.3181,60.3493,71.6781,43.5513,2.383965
1,32,72,1.4,68.1147,68.1147,60.0419,83.4774,68.1147,76.6763,68.1147,68.1147,60.1368,71.5281,43.0132,2.406642
1,33,73,1.4125,67.8352,67.8352,59.9117,83.5013,67.8352,76.4257,67.8352,67.8352,59.8651,71.3849,42.4263,2.40879
